# This file is generated by MACS version 2.1.2
# Command line: callpeak -t CHNM36.bam.sorted.bam -c CHNM35.bam.sorted.bam -f BAM -n RUNX1ChIP_MCF10AOEq0.05 -g hs -B -q 0.05
# ARGUMENTS LIST:
# name = RUNX1ChIP_MCF10AOEq0.05
# format = BAM
# ChIP-seq file = ['CHNM36.bam.sorted.bam']
# control file = ['CHNM35.bam.sorted.bam']
# effective genome size = 2.70e+09
# band width = 300
# model fold = [5, 50]
# qvalue cutoff = 5.00e-02
# The maximum gap between significant sites is assigned as the read length/tag size.
# The minimum length of peaks is assigned as the predicted fragment length "d".
# Larger dataset will be scaled towards smaller dataset.
# Range for calculating regional lambda is: 1000 bps and 10000 bps
# Broad region calling is off
# Paired-End mode is off

# tag size is determined as 54 bps
# total tags in treatment: 89501295
# tags after filtering in treatment: 80338845
# maximum duplicate tags at the same position in treatment = 1
# Redundant rate in treatment: 0.10
# total tags in control: 94686274
# tags after filtering in control: 87410774
# maximum duplicate tags at the same position in control = 1
# Redundant rate in control: 0.08
# d = 74
# alternative fragment length(s) may be 74 bps
chr	start	end	length	abs_summit	pileup	-log10(pvalue)	fold_enrichment	-log10(qvalue)	name
chr1	234256464	234256659	196	234256573	34.00	23.40670	8.20705	18.72234	RUNX1ChIP_MCF10AOEq0.05_peak_1454
chr1	234373386	234373558	173	234373499	19.00	10.03121	4.97540	6.28337	RUNX1ChIP_MCF10AOEq0.05_peak_1455
chr1	234553684	234553794	111	234553738	18.00	9.35051	4.79972	5.67275	RUNX1ChIP_MCF10AOEq0.05_peak_1456
chr1	234564724	234564903	180	234564773	20.00	8.20561	3.97364	4.62598	RUNX1ChIP_MCF10AOEq0.05_peak_1457
chr1	234617387	234617610	224	234617450	25.00	11.30042	4.64661	7.45746	RUNX1ChIP_MCF10AOEq0.05_peak_1458
chr1	234699967	234700148	182	234700093	18.00	6.38496	3.39560	3.00720	RUNX1ChIP_MCF10AOEq0.05_peak_1459
chr1	234746951	234747035	85	234746968	14.00	6.06777	3.69405	2.74691	RUNX1ChIP_MCF10AOEq0.05_peak_1460
chr1	234849491	234849577	87	234849516	23.00	9.75083	4.26675	6.02512	RUNX1ChIP_MCF10AOEq0.05_peak_1461
chr1	234871843	234871934	92	234871881	17.00	8.72436	4.64282	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_1462
chr1	234997310	234997418	109	234997354	21.00	11.27132	5.24232	7.43075	RUNX1ChIP_MCF10AOEq0.05_peak_1463
chr1	235011729	235011873	145	235011832	16.00	6.66719	3.74723	3.25846	RUNX1ChIP_MCF10AOEq0.05_peak_1464
chr1	235011956	235012182	227	235011973	26.00	10.31672	4.14455	6.55438	RUNX1ChIP_MCF10AOEq0.05_peak_1465
chr1	235018311	235018425	115	235018321	16.00	5.16171	3.03817	1.96247	RUNX1ChIP_MCF10AOEq0.05_peak_1466
chr1	235067774	235068125	352	235067924	23.00	11.75065	5.13217	7.84452	RUNX1ChIP_MCF10AOEq0.05_peak_1467
chr1	235073836	235073963	128	235073900	23.00	7.05648	3.22855	3.59016	RUNX1ChIP_MCF10AOEq0.05_peak_1468
chr1	235161427	235161637	211	235161573	22.00	10.33988	4.65139	6.57724	RUNX1ChIP_MCF10AOEq0.05_peak_1469
chr1	235297736	235297864	129	235297773	18.00	6.38496	3.39560	3.00720	RUNX1ChIP_MCF10AOEq0.05_peak_1470
chr1	235504523	235504617	95	235504561	17.00	8.24302	4.39604	4.66306	RUNX1ChIP_MCF10AOEq0.05_peak_1471
chr1	235624896	235625031	136	235624966	27.00	18.23469	7.41735	13.87727	RUNX1ChIP_MCF10AOEq0.05_peak_1472
chr1	235642104	235642285	182	235642254	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_1473
chr1	235642450	235642594	145	235642548	19.00	10.44685	5.18598	6.68013	RUNX1ChIP_MCF10AOEq0.05_peak_1474
chr1	235759057	235759211	155	235759125	19.00	10.62822	5.27908	6.82109	RUNX1ChIP_MCF10AOEq0.05_peak_1475
chr1	235932177	235932488	312	235932298	40.00	21.45649	6.29358	16.88602	RUNX1ChIP_MCF10AOEq0.05_peak_1476
chr1	235997279	235997368	90	235997356	14.00	6.42244	3.88264	3.04330	RUNX1ChIP_MCF10AOEq0.05_peak_1477
chr1	236354484	236354697	214	236354603	27.00	17.16256	6.89555	12.87658	RUNX1ChIP_MCF10AOEq0.05_peak_1478
chr1	236678031	236678196	166	236678092	22.00	12.76552	5.79028	8.78435	RUNX1ChIP_MCF10AOEq0.05_peak_1479
chr1	237934495	237934618	124	237934612	23.00	4.46969	2.35503	1.40527	RUNX1ChIP_MCF10AOEq0.05_peak_1480
chr1	238325240	238325313	74	238325256	15.00	7.68182	4.41342	4.17590	RUNX1ChIP_MCF10AOEq0.05_peak_1481
chr1	238409293	238409565	273	238409400	30.00	11.55024	4.17022	7.66599	RUNX1ChIP_MCF10AOEq0.05_peak_1482
chr1	238892502	238892630	129	238892561	15.00	7.50212	4.31625	4.00365	RUNX1ChIP_MCF10AOEq0.05_peak_1483
chr1	238896039	238896150	112	238896091	20.00	9.35247	4.49065	5.67275	RUNX1ChIP_MCF10AOEq0.05_peak_1484
chr1	238960277	238960365	89	238960294	17.00	7.13320	3.84913	3.65834	RUNX1ChIP_MCF10AOEq0.05_peak_1485
chr1	239456767	239457249	483	239457027	31.00	18.87225	6.84290	14.45414	RUNX1ChIP_MCF10AOEq0.05_peak_1486
chr1	240242950	240243050	101	240243022	18.00	5.25399	2.91654	2.03833	RUNX1ChIP_MCF10AOEq0.05_peak_1487
chr1	240515634	240515847	214	240515787	24.00	12.58598	5.34601	8.60723	RUNX1ChIP_MCF10AOEq0.05_peak_1488
chr1	240612224	240612425	202	240612293	28.00	19.32831	7.71834	14.89203	RUNX1ChIP_MCF10AOEq0.05_peak_1489
chr1	240613512	240613726	215	240613620	33.00	17.88586	6.07634	13.54110	RUNX1ChIP_MCF10AOEq0.05_peak_1490
chr1	240618990	240619181	192	240619055	23.00	14.35452	6.38072	10.27723	RUNX1ChIP_MCF10AOEq0.05_peak_1491
chr1	241442760	241442942	183	241442877	24.00	13.31795	5.68098	9.31969	RUNX1ChIP_MCF10AOEq0.05_peak_1492
chr1	241443614	241443877	264	241443750	48.00	36.64201	10.47819	31.29742	RUNX1ChIP_MCF10AOEq0.05_peak_1493
chr1	241582893	241583026	134	241582921	25.00	11.30042	4.64661	7.45746	RUNX1ChIP_MCF10AOEq0.05_peak_1494
chr1	241583180	241583291	112	241583246	19.00	10.06484	4.99229	6.31668	RUNX1ChIP_MCF10AOEq0.05_peak_1495
chr1	241970512	241970602	91	241970565	20.00	11.76544	5.67549	7.85908	RUNX1ChIP_MCF10AOEq0.05_peak_1496
chr1	242019090	242019190	101	242019119	17.00	7.50333	4.02805	4.00457	RUNX1ChIP_MCF10AOEq0.05_peak_1497
chr1	242144414	242144536	123	242144434	21.00	10.13314	4.70449	6.37735	RUNX1ChIP_MCF10AOEq0.05_peak_1498
chr1	242147079	242147243	165	242147146	21.00	11.27132	5.24232	7.43075	RUNX1ChIP_MCF10AOEq0.05_peak_1499
chr1	242308836	242308910	75	242308854	20.00	7.69469	3.75303	4.18619	RUNX1ChIP_MCF10AOEq0.05_peak_1500
chr1	242546896	242547088	193	242546974	42.00	30.02688	9.19514	24.99921	RUNX1ChIP_MCF10AOEq0.05_peak_1501
chr1	242612518	242612610	93	242612559	19.00	10.39341	5.15869	6.63023	RUNX1ChIP_MCF10AOEq0.05_peak_1502
chr1	242628155	242628263	109	242628218	18.00	9.78667	5.02415	6.05952	RUNX1ChIP_MCF10AOEq0.05_peak_1503
chr1	242811184	242811443	260	242811321	39.00	16.36153	4.78883	12.12890	RUNX1ChIP_MCF10AOEq0.05_peak_1504
chr1	243254472	243254616	145	243254536	21.00	12.44885	5.82792	8.48999	RUNX1ChIP_MCF10AOEq0.05_peak_1505
chr1	243254866	243255151	286	243254963	38.00	30.35208	10.40631	25.28419	RUNX1ChIP_MCF10AOEq0.05_peak_1506
chr1	243596518	243596701	184	243596593	29.00	16.59769	6.23865	12.32885	RUNX1ChIP_MCF10AOEq0.05_peak_1507
chr1	243732042	243732389	348	243732183	37.00	21.49149	6.79120	16.91931	RUNX1ChIP_MCF10AOEq0.05_peak_1508
chr1	244159692	244159951	260	244159825	21.00	11.81729	5.51023	7.90989	RUNX1ChIP_MCF10AOEq0.05_peak_1509
chr1	244160583	244160664	82	244160598	21.00	10.60317	4.92317	6.79696	RUNX1ChIP_MCF10AOEq0.05_peak_1510
chr1	244214680	244214835	156	244214718	23.00	9.50492	4.16601	5.81953	RUNX1ChIP_MCF10AOEq0.05_peak_1511
chr1	244304307	244304495	189	244304366	16.00	7.27571	4.05088	3.79613	RUNX1ChIP_MCF10AOEq0.05_peak_1512
chr1	244319706	244319897	192	244319778	20.00	9.64835	4.62894	5.92330	RUNX1ChIP_MCF10AOEq0.05_peak_1513
chr1	244436873	244437014	142	244436912	17.00	5.76199	3.21688	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_1514
chr1	245018278	245018574	297	245018438	38.00	22.42166	6.96991	17.79887	RUNX1ChIP_MCF10AOEq0.05_peak_1515
chr1	245469765	245469932	168	245469862	19.00	10.71327	5.32299	6.89188	RUNX1ChIP_MCF10AOEq0.05_peak_1516
chr1	245863693	245863766	74	245863762	17.00	5.76199	3.21688	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_1517
chr1	246021403	246021538	136	246021452	19.00	9.30333	4.61612	5.63239	RUNX1ChIP_MCF10AOEq0.05_peak_1518
chr1	246425147	246425595	449	246425291	33.00	23.54558	8.51581	18.85927	RUNX1ChIP_MCF10AOEq0.05_peak_1519
chr1	246428609	246428899	291	246428761	59.00	44.14216	10.72295	38.52617	RUNX1ChIP_MCF10AOEq0.05_peak_1520
chr1	247078110	247078207	98	247078148	18.00	7.98474	4.12623	4.42254	RUNX1ChIP_MCF10AOEq0.05_peak_1521
chr1	247173071	247173174	104	247173136	21.00	5.91882	2.95951	2.60469	RUNX1ChIP_MCF10AOEq0.05_peak_1522
chr1	247180649	247180846	198	247180807	19.00	10.44685	5.18598	6.68013	RUNX1ChIP_MCF10AOEq0.05_peak_1523
chr1	248859245	248859343	99	248859294	14.00	6.28450	3.80888	2.91302	RUNX1ChIP_MCF10AOEq0.05_peak_1524
chr1	248870748	248870964	217	248870856	22.00	13.76975	6.29704	9.71063	RUNX1ChIP_MCF10AOEq0.05_peak_1525
chr1	248873752	248874037	286	248873905	28.00	16.51899	6.39234	12.25064	RUNX1ChIP_MCF10AOEq0.05_peak_1526
chr1	248874146	248874488	343	248874341	26.00	14.30646	5.77369	10.23009	RUNX1ChIP_MCF10AOEq0.05_peak_1527
chr1	248895159	248895258	100	248895230	14.00	6.82191	4.09913	3.40764	RUNX1ChIP_MCF10AOEq0.05_peak_1528
chr1	248925347	248925524	178	248925456	22.00	12.13121	5.48061	8.21308	RUNX1ChIP_MCF10AOEq0.05_peak_1529
chr10	10181	10368	188	10325	30.00	6.99614	2.79027	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1530
chr10	330031	330126	96	330062	16.00	9.30690	5.13216	5.63374	RUNX1ChIP_MCF10AOEq0.05_peak_1531
chr10	373534	373679	146	373587	15.00	5.76642	3.42145	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_1532
chr10	451217	451510	294	451284	24.00	12.58598	5.34601	8.60723	RUNX1ChIP_MCF10AOEq0.05_peak_1533
chr10	501724	501800	77	501784	18.00	6.38496	3.39560	3.00720	RUNX1ChIP_MCF10AOEq0.05_peak_1534
chr10	778274	778384	111	778314	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_1535
chr10	821233	821589	357	821363	36.00	28.00574	9.84753	23.06215	RUNX1ChIP_MCF10AOEq0.05_peak_1536
chr10	823162	823277	116	823190	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_1537
chr10	839658	839951	294	839783	37.00	32.62343	11.86803	27.45379	RUNX1ChIP_MCF10AOEq0.05_peak_1538
chr10	1151271	1151529	259	1151376	17.00	4.70851	2.76304	1.54483	RUNX1ChIP_MCF10AOEq0.05_peak_1539
chr10	1253818	1254261	444	1254153	34.00	28.94536	10.93108	23.95658	RUNX1ChIP_MCF10AOEq0.05_peak_1540
chr10	1409417	1409605	189	1409558	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_1541
chr10	1410063	1410359	297	1410198	19.00	12.43868	6.24633	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_1542
chr10	1639155	1639366	212	1639291	27.00	20.80799	8.74486	16.25958	RUNX1ChIP_MCF10AOEq0.05_peak_1543
chr10	1851772	1851870	99	1851832	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_1544
chr10	1972478	1972720	243	1972545	30.00	21.41854	8.25064	16.85024	RUNX1ChIP_MCF10AOEq0.05_peak_1545
chr10	2038113	2038243	131	2038172	19.00	7.02952	3.57432	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1546
chr10	2111992	2112352	361	2112048	25.00	18.61243	8.12023	14.20591	RUNX1ChIP_MCF10AOEq0.05_peak_1547
chr10	2797113	2797219	107	2797174	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_1548
chr10	3074199	3074384	186	3074247	12.00	5.17186	3.45994	1.96247	RUNX1ChIP_MCF10AOEq0.05_peak_1549
chr10	3091588	3091738	151	3091693	17.00	7.13320	3.84913	3.65834	RUNX1ChIP_MCF10AOEq0.05_peak_1550
chr10	3197897	3197996	100	3197951	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_1551
chr10	3227868	3227980	113	3227929	21.00	7.01510	3.37704	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1552
chr10	3469317	3469420	104	3469367	17.00	4.70851	2.76304	1.54483	RUNX1ChIP_MCF10AOEq0.05_peak_1553
chr10	3825409	3825616	208	3825556	20.00	13.42037	6.55865	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_1554
chr10	3924562	3924642	81	3924591	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_1555
chr10	4229257	4229368	112	4229305	15.00	8.61671	4.93153	5.01241	RUNX1ChIP_MCF10AOEq0.05_peak_1556
chr10	4704353	4704491	139	4704409	19.00	8.59162	4.27681	4.99156	RUNX1ChIP_MCF10AOEq0.05_peak_1557
chr10	5440272	5440532	261	5440366	29.00	21.45607	8.53125	16.88602	RUNX1ChIP_MCF10AOEq0.05_peak_1558
chr10	5551691	5551958	268	5551860	38.00	30.29731	10.37983	25.22947	RUNX1ChIP_MCF10AOEq0.05_peak_1559
chr10	5569002	5569328	327	5569226	17.00	10.02216	5.33546	6.27438	RUNX1ChIP_MCF10AOEq0.05_peak_1560
chr10	5583745	5583895	151	5583856	18.00	7.85153	4.06297	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_1561
chr10	5585861	5585938	78	5585909	22.00	13.42617	6.12144	9.38184	RUNX1ChIP_MCF10AOEq0.05_peak_1562
chr10	5589294	5589402	109	5589336	13.00	5.70888	3.63019	2.42826	RUNX1ChIP_MCF10AOEq0.05_peak_1563
chr10	5590126	5590199	74	5590144	14.00	7.43121	4.43727	3.93397	RUNX1ChIP_MCF10AOEq0.05_peak_1564
chr10	5614088	5614237	150	5614122	14.00	7.51123	4.48236	4.01235	RUNX1ChIP_MCF10AOEq0.05_peak_1565
chr10	5618149	5618409	261	5618274	23.00	16.48204	7.49560	12.21562	RUNX1ChIP_MCF10AOEq0.05_peak_1566
chr10	5801523	5801619	97	5801579	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_1567
chr10	6069510	6069711	202	6069611	13.00	5.88422	3.72609	2.57094	RUNX1ChIP_MCF10AOEq0.05_peak_1568
chr10	6202836	6202909	74	6202863	11.00	5.44370	3.74780	2.17258	RUNX1ChIP_MCF10AOEq0.05_peak_1569
chr10	6218976	6219233	258	6219083	30.00	24.21380	9.68181	19.47198	RUNX1ChIP_MCF10AOEq0.05_peak_1570
chr10	6270393	6270548	156	6270462	24.00	16.48885	7.24959	12.22082	RUNX1ChIP_MCF10AOEq0.05_peak_1571
chr10	6275559	6275688	130	6275617	17.00	10.20138	5.43405	6.44230	RUNX1ChIP_MCF10AOEq0.05_peak_1572
chr10	6384988	6385129	142	6385041	18.00	9.84950	5.05684	6.10580	RUNX1ChIP_MCF10AOEq0.05_peak_1573
chr10	6473593	6473666	74	6473607	12.00	5.17186	3.45994	1.96247	RUNX1ChIP_MCF10AOEq0.05_peak_1574
chr10	7046427	7046511	85	7046458	16.00	9.49962	5.23975	5.81439	RUNX1ChIP_MCF10AOEq0.05_peak_1575
chr10	7233695	7233922	228	7233841	24.00	8.94539	3.83755	5.29677	RUNX1ChIP_MCF10AOEq0.05_peak_1576
chr10	7317935	7318009	75	7318004	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_1577
chr10	8133227	8133414	188	8133346	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_1578
chr10	8183233	8183320	88	8183277	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_1579
chr10	8306180	8306415	236	8306312	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_1580
chr10	8404925	8405005	81	8404985	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1581
chr10	8435234	8435427	194	8435388	18.00	7.85153	4.06297	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_1582
chr10	8698137	8698290	154	8698192	14.00	7.86719	4.68475	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_1583
chr10	8702979	8703185	207	8703050	15.00	7.39439	4.25839	3.89968	RUNX1ChIP_MCF10AOEq0.05_peak_1584
chr10	9763077	9763155	79	9763134	15.00	8.09478	4.63974	4.52977	RUNX1ChIP_MCF10AOEq0.05_peak_1585
chr10	10605493	10605619	127	10605558	21.00	14.25679	6.78085	10.18618	RUNX1ChIP_MCF10AOEq0.05_peak_1586
chr10	10794794	10795231	438	10795035	49.00	43.63234	13.30748	38.02132	RUNX1ChIP_MCF10AOEq0.05_peak_1587
chr10	11558489	11558643	155	11558601	20.00	9.35247	4.49065	5.67275	RUNX1ChIP_MCF10AOEq0.05_peak_1588
chr10	11710900	11710979	80	11710921	14.00	5.12056	3.20761	1.93011	RUNX1ChIP_MCF10AOEq0.05_peak_1589
chr10	11719478	11719692	215	11719563	17.00	9.09758	4.83803	5.43222	RUNX1ChIP_MCF10AOEq0.05_peak_1590
chr10	11875840	11875937	98	11875896	12.00	5.59211	3.69688	2.31481	RUNX1ChIP_MCF10AOEq0.05_peak_1591
chr10	11882718	11882887	170	11882751	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_1592
chr10	12262677	12262793	117	12262732	17.00	7.13320	3.84913	3.65834	RUNX1ChIP_MCF10AOEq0.05_peak_1593
chr10	12419450	12419540	91	12419477	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_1594
chr10	12448859	12449042	184	12448888	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_1595
chr10	12535698	12535942	245	12535879	19.00	10.71327	5.32299	6.89188	RUNX1ChIP_MCF10AOEq0.05_peak_1596
chr10	13040392	13040512	121	13040454	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_1597
chr10	13054790	13055106	317	13055041	21.00	12.50251	5.85529	8.53128	RUNX1ChIP_MCF10AOEq0.05_peak_1598
chr10	13417728	13417807	80	13417745	15.00	8.09478	4.63974	4.52977	RUNX1ChIP_MCF10AOEq0.05_peak_1599
chr10	13708850	13708974	125	13708914	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_1600
chr10	13718223	13718392	170	13718350	21.00	12.40774	5.80699	8.47994	RUNX1ChIP_MCF10AOEq0.05_peak_1601
chr10	13746780	13746967	188	13746852	19.00	12.28993	6.16441	8.36747	RUNX1ChIP_MCF10AOEq0.05_peak_1602
chr10	13770191	13770291	101	13770269	14.00	6.83586	4.10677	3.42075	RUNX1ChIP_MCF10AOEq0.05_peak_1603
chr10	13776973	13777097	125	13777038	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_1604
chr10	13882062	13882216	155	13882110	20.00	12.78283	6.21218	8.79990	RUNX1ChIP_MCF10AOEq0.05_peak_1605
chr10	13882370	13882539	170	13882416	19.00	5.82087	3.07004	2.52581	RUNX1ChIP_MCF10AOEq0.05_peak_1606
chr10	13969219	13969389	171	13969317	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1607
chr10	14570375	14570449	75	14570390	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1608
chr10	14585657	14585935	279	14585743	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_1609
chr10	14683322	14683541	220	14683415	21.00	13.27614	6.25625	9.27842	RUNX1ChIP_MCF10AOEq0.05_peak_1610
chr10	15298814	15298889	76	15298860	15.00	7.77416	4.46367	4.26071	RUNX1ChIP_MCF10AOEq0.05_peak_1611
chr10	15326886	15327038	153	15326985	16.00	9.30690	5.13216	5.63374	RUNX1ChIP_MCF10AOEq0.05_peak_1612
chr10	15361312	15361414	103	15361346	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_1613
chr10	16646825	16646936	112	16646873	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_1614
chr10	17228445	17228603	159	17228476	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_1615
chr10	17231047	17231273	227	17231131	27.00	20.80799	8.74486	16.25958	RUNX1ChIP_MCF10AOEq0.05_peak_1616
chr10	17248368	17248443	76	17248411	17.00	9.00765	4.79069	5.34601	RUNX1ChIP_MCF10AOEq0.05_peak_1617
chr10	17974609	17974807	199	17974673	16.00	9.12057	5.02891	5.45286	RUNX1ChIP_MCF10AOEq0.05_peak_1618
chr10	17984141	17984359	219	17984203	16.00	6.43775	3.63529	3.05085	RUNX1ChIP_MCF10AOEq0.05_peak_1619
chr10	18100816	18100939	124	18100877	23.00	16.48204	7.49560	12.21562	RUNX1ChIP_MCF10AOEq0.05_peak_1620
chr10	18113991	18114160	170	18114063	24.00	17.53878	7.80791	13.20109	RUNX1ChIP_MCF10AOEq0.05_peak_1621
chr10	18156921	18157116	196	18156989	15.00	5.76642	3.42145	2.47326	RUNX1ChIP_MCF10AOEq0.05_peak_1622
chr10	18684474	18684724	251	18684544	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_1623
chr10	18833369	18833690	322	18833491	31.00	25.37712	9.99413	20.57227	RUNX1ChIP_MCF10AOEq0.05_peak_1624
chr10	19826867	19826948	82	19826919	15.00	8.73246	4.99707	5.09133	RUNX1ChIP_MCF10AOEq0.05_peak_1625
chr10	19832713	19832836	124	19832803	18.00	7.85153	4.06297	4.30826	RUNX1ChIP_MCF10AOEq0.05_peak_1626
chr10	19994116	19994189	74	19994128	11.00	5.44370	3.74780	2.17258	RUNX1ChIP_MCF10AOEq0.05_peak_1627
chr10	21037418	21037691	274	21037590	23.00	11.75065	5.13217	7.84452	RUNX1ChIP_MCF10AOEq0.05_peak_1628
chr10	21084053	21084336	284	21084218	37.00	24.78629	8.12594	20.02050	RUNX1ChIP_MCF10AOEq0.05_peak_1629
chr10	21097722	21097820	99	21097770	21.00	14.42207	6.87096	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_1630
chr10	21292846	21292985	140	21292916	19.00	12.05861	6.03784	8.14430	RUNX1ChIP_MCF10AOEq0.05_peak_1631
chr10	21943787	21943954	168	21943855	24.00	12.58598	5.34601	8.60723	RUNX1ChIP_MCF10AOEq0.05_peak_1632
chr10	22246964	22247239	276	22247227	13.00	4.50168	2.99377	1.41348	RUNX1ChIP_MCF10AOEq0.05_peak_1633
chr10	22637650	22637836	187	22637728	21.00	13.75085	6.50800	9.69250	RUNX1ChIP_MCF10AOEq0.05_peak_1634
chr10	22682639	22682884	246	22682792	24.00	14.98488	6.48248	10.84978	RUNX1ChIP_MCF10AOEq0.05_peak_1635
chr10	22683385	22683491	107	22683433	18.00	10.31273	5.30060	6.55108	RUNX1ChIP_MCF10AOEq0.05_peak_1636
chr10	22850708	22850781	74	22850752	12.00	6.22087	4.06012	2.85022	RUNX1ChIP_MCF10AOEq0.05_peak_1637
chr10	23374149	23374252	104	23374212	20.00	12.11693	5.85856	8.19917	RUNX1ChIP_MCF10AOEq0.05_peak_1638
chr10	23480186	23480391	206	23480278	22.00	15.44289	7.18328	11.24790	RUNX1ChIP_MCF10AOEq0.05_peak_1639
chr10	23493851	23494047	197	23493964	31.00	25.37712	9.99413	20.57227	RUNX1ChIP_MCF10AOEq0.05_peak_1640
chr10	23968452	23968677	226	23968526	23.00	14.36812	6.38759	10.28034	RUNX1ChIP_MCF10AOEq0.05_peak_1641
chr10	24259411	24259608	198	24259553	20.00	6.40821	3.22354	3.02927	RUNX1ChIP_MCF10AOEq0.05_peak_1642
chr10	24383727	24383885	159	24383785	21.00	14.38860	6.85268	10.30053	RUNX1ChIP_MCF10AOEq0.05_peak_1643
chr10	24466364	24466532	169	24466420	25.00	16.30398	6.91989	12.07201	RUNX1ChIP_MCF10AOEq0.05_peak_1644
chr10	25048033	25048279	247	25048140	20.00	6.40821	3.22354	3.02927	RUNX1ChIP_MCF10AOEq0.05_peak_1645
chr10	25174648	25174764	117	25174696	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_1646
chr10	25174843	25174924	82	25174856	14.00	6.62566	3.99224	3.21902	RUNX1ChIP_MCF10AOEq0.05_peak_1647
chr10	26432982	26433306	325	26433149	40.00	36.40280	12.80498	31.06426	RUNX1ChIP_MCF10AOEq0.05_peak_1648
chr10	26860508	26860682	175	26860576	18.00	11.47793	5.93401	7.59503	RUNX1ChIP_MCF10AOEq0.05_peak_1649
chr10	27100492	27100568	77	27100497	11.00	5.23207	3.62270	2.01856	RUNX1ChIP_MCF10AOEq0.05_peak_1650
chr10	27391322	27391682	361	27391515	30.00	19.35743	7.26910	14.92065	RUNX1ChIP_MCF10AOEq0.05_peak_1651
chr10	27659795	27660033	239	27659898	23.00	11.75065	5.13217	7.84452	RUNX1ChIP_MCF10AOEq0.05_peak_1652
chr10	28054737	28054832	96	28054782	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1653
chr10	28152532	28152646	115	28152598	20.00	13.26336	6.47263	9.26673	RUNX1ChIP_MCF10AOEq0.05_peak_1654
chr10	28332047	28332120	74	28332099	16.00	9.62361	5.30938	5.89892	RUNX1ChIP_MCF10AOEq0.05_peak_1655
chr10	29479146	29479258	113	29479212	25.00	13.43812	5.55985	9.38842	RUNX1ChIP_MCF10AOEq0.05_peak_1656
chr10	29621274	29621355	82	29621292	17.00	10.53919	5.62170	6.73596	RUNX1ChIP_MCF10AOEq0.05_peak_1657
chr10	29647087	29647314	228	29647228	25.00	15.70860	6.62494	11.50761	RUNX1ChIP_MCF10AOEq0.05_peak_1658
chr10	29659077	29659239	163	29659122	13.00	7.02939	4.37243	3.56443	RUNX1ChIP_MCF10AOEq0.05_peak_1659
